country,maxCorprateRate,lossCarryback,lossCarryforward,pdvMachines,pdvBuildings,pdvIntangibles,inventory,patentBox,rndCredit,corptime,profitPayments,otherPayments,vatRate,threshold,base,deductionLimitations,consumptionTime,propertyTaxes,propertyTaxesCollections,netWealth,estateOrInheritanceTax,transferTaxes,assetTaxes,capitalDuties,financialTrans,capGainsRate,capGainsIndex,divRate,incRate,progressivity,taxWedge,laborPayments,laborTime,dividendExempt,capGainsExemption,divWithhold,intWithhold,royWithhold,taxTreaties,cfcRules,countryLimitations,thinCap
Poland,0.19,0,5,0.7378887,0.3384747,0.8698652,1,0,0,62,1,16,0.23,80014,0.46,1,100,1,1.161,0,1,1,0,1,1,0.19,0,0.19,0.20925325,2.4,0.355616728,1,124,1,0,0.19,0.2,0.2,80,0,1,1
Portugal,0.315,0,5,0.8884112,0.5479539,0.7378887,0.5,0,1,63,1,6,0.23,15826,0.44,1,96,0.5,0.746,0,1,1,0,1,1,0.28,1,0.28,0.50285,16.2,0.411451713,1,116,1,0,0.25,0.25,0.25,60,1,1,1
Slovak Republic,0.22,0,4,0.868,0.649,0.8698652,0.5,0,1,42,1,18,0.2,95833,0.48,1,103,0.5,0.442,0,0,0,0,0,0,0.25,0,0,0.2165,4,0.411330867,1,62,1,0,0,0.19,0.19,64,0,0,0
Slovenia,0.17,0,100,0.8698652,0.391406,0.7378887,0.5,0,1,90,1,9,0.22,39685,0.62,1,74,1,0.534,0,1,1,0,0,0,0,1,0.25,0.3895,5.4,0.423419752,1,96,0.95,1,0.15,0.15,0.15,53,0,1,1
Spain,0.3,0,18,0.8641414,0.5548387,0.8323061,0.5,1,1,33,1,6,0.21,0,0.34,1,44,1,1.022,1,1,1,0,1,0,0.27,0,0.27,0.52,11.7,0.406605732,1,90,1,1,0.21,0.21,0.2475,80,1,1,0
Sweden    ,0.22,0,100,0.86,0.4793186,0.86,0,0,0,50,1,2,0.25,3366,0.57,0,36,0.5,0.802,0,0,1,0,0,0,0.3,0,0.3,0.5673,1.5,0.429265058,1,36,1,1,0,0,0,83,1,1,1
Switzerland,0.211485813,0,7,0.86,0.5548387,0.9052632,1,1,0,15,2,10,0.08,66832,0.71,0,8,1,0.164,1,1,1,1,1,1,0,1,0.19985,0.36102888,3.4,0.219876565,7,40,0.95,1,0.35,0.35,0,100,0,0,1
Turkey,0.2,0,5,0.8763233,0.4793186,0.6319777,1,0,1,49,1,9,0.18,0,0.34,1,97,0.5,0.249,0,1,1,0,1,0,0,1,0.175,0.358,3.3,0.386401954,1,80,1,1,0.15,0.1,0.2,76,1,1,1
United Kingdom,0.21,1,100,0.7818182,0,0.8269231,0,1,1,37,1,6,0.2,110744,0.47,1,25,0.5,3.381,0,1,1,1,0,1,0.28,0,0.3055625,0.45,4.2,0.314797772,1,48,1,1,0,0.2,0.2,125,1,0,1
United States,0.391,2,20,0.8769255,0.3504648,0.6329265,1,0,1,87,2,5,0.072,0,0.38,1,33,0.5,2.805,0,1,1,1,1,1,0.287,0,0.3034,0.462503168,8.5,0.313283896,4,55,0,0,0.3,0.3,0.3,67,1,1,1
