CBSA,FIPS
29420,04015
29460,12105
29500,48115
29540,42071
29580,45057
29620,26037
29620,26045
29620,26065
29660,56001
29700,48479
29740,35013
29780,35047
29820,32003
29860,28061
29860,28067
29900,37165
29940,20045
29980,47099
30020,40031
30060,29105
30100,33009
30100,50017
30100,50027
30140,42075
30220,48219
30260,42119
30280,47117
30300,16069
30300,53003
30340,23001
30380,42087
30420,31047
30420,31073
30460,21017
30460,21049
30460,21067
30460,21113
30460,21209
30460,21239
30500,24037
30580,20175
30620,39003
30660,17107
30700,31109
30700,31159
30740,37109
30780,05045
30780,05053
30780,05085
30780,05105
30780,05119
30780,05125
30820,42035
30860,16041
30860,49005
30900,18017
30940,21125
30980,48183
30980,48401
30980,48459
31020,53015
31060,35028
31100,06037
31100,06059
31140,18019
31140,18043
31140,18061
31140,18175
31140,21029
31140,21103
31140,21111
31140,21163
31140,21179
31140,21185
31140,21211
31140,21215
31140,21223
31180,48107
31180,48303
31260,48005
31300,37155
31340,51009
31340,51011
31340,51019
31340,51031
31340,51515
31340,51680
31380,17109
31420,13021
31420,13079
31420,13169
31420,13207
31420,13289
31460,06039
31500,18077
31540,55021
31540,55025
31540,55049
31580,21107
31620,05027
31660,36033
31700,33011
31740,20061
31740,20149
31740,20161
31820,55071
31860,27013
31860,27103
31900,39139
31920,48053
31940,26109
31940,55075
31980,18053
32020,39101
32060,17199
32100,26103
32140,27083
32180,29195
32220,48203
32260,19127
32270,55141
32280,47183
32300,51089
32300,51690
32340,29147
32380,19033
32380,19195
32420,72067
32420,72097
32460,21083
32500,21135
32500,21161
32540,40121
32580,48215
32620,28005
32620,28113
32660,47177
32700,20113
32740,42039
32780,41029
32820,05035
32820,28033
32820,28093
32820,28137
32820,28143
32820,47047
32820,47157
32820,47167
32860,55033
32900,06047
32940,28023
32940,28069
32940,28075
32980,55069
33020,29007
33060,40115
33100,12011
33100,12086
33100,12099
33140,18091
33180,21013
33220,26111
33260,48329
33300,13009
33300,13141
33340,55079
33340,55089
33340,55131
33340,55133
33380,22119
33420,48363
33460,27003
33460,27019
33460,27025
33460,27037
33460,27053
33460,27059
33460,27123
33460,27139
33460,27141
33460,27163
33460,27171
33460,55093
33460,55109
33500,38049
33500,38075
33500,38101
33540,30063
33580,46035
33580,46061
33620,29175
33660,01097
33700,06099
33740,22073
33740,22111
33780,26115
33820,55045
33860,01001
33860,01051
33860,01085
33860,01101
33940,08085
33980,37031
34020,22101
34060,54061
34060,54077
34100,47057
34100,47063
34100,47089
34140,16057
34180,53025
34220,13071
34260,05005
34300,16039
34340,37171
34380,26073
34420,48449
34460,21011
34460,21165
34460,21173
34500,17065
34500,17081
34540,39083
34580,53057
34620,18035
34660,21035
34700,19115
34700,19139
34740,26121
34780,40101
34820,45051
34860,48347
34900,06055
34940,12021
34980,47015
34980,47021
34980,47037
34980,47043
34980,47081
34980,47111
34980,47147
34980,47149
34980,47159
34980,47165
34980,47169
34980,47187
34980,47189
35020,22029
35020,28001
35060,22069
35100,37049
35100,37103
35100,37137
35140,45071
35220,18065
35260,42073
35300,09009
35340,22045
35380,22051
35380,22071
35380,22075
35380,22087
35380,22089
35380,22095
35380,22103
35420,39157
35460,47029
35500,19099
35580,27015
35620,34023
35620,34025
35620,34029
35620,34035
35620,36059
35620,36103
35620,34003
35620,34017
35620,34031
35620,36005
35620,36047
35620,36061
35620,36079
35620,36081
35620,36085
35620,36087
35620,36119
35620,34013
35620,34019
35620,34027
35620,34037
35620,34039
35620,42103
35660,26021
35700,04023
35740,31119
35740,31139
35740,31167
35820,31111
35820,31113
35820,31117
35840,12081
35840,12115
35860,18079
35900,37193
35940,39077
35980,09011
36020,53029
36060,54019
36100,12083
36140,34009
36180,24047
36220,48135
36260,49011
36260,49029
36260,49057
36300,36089
36340,42121
36380,12093
36420,40017
36420,40027
36420,40051
36420,40081
36420,40083
36420,40087
36420,40109
36460,36009
36500,53067
36540,19085
36540,19129
36540,19155
36540,31025
36540,31055
36540,31153
36540,31155
36540,31177
36580,36077
36620,16075
36620,41045
36660,22097
36700,45075
36740,12069
36740,12095
36740,12097
36740,12117
36780,55139
36820,19123
36860,17011
36860,17099
36860,17155
36900,19179
36940,27147
36980,21059
36980,21091
36980,21149
37020,26155
37060,28071
37100,06111
37140,17127
37140,21007
37140,21139
37140,21145
37220,32023
37260,12107
37300,48001
37340,12009
37380,12035
37420,48179
37420,48393
37460,12005
37500,05055
37540,47079
37580,48277
37620,39167
37620,54073
37620,54105
37620,54107
37660,20099
37700,28039
37700,28059
37740,04007
37780,48389
37800,19125
37820,41049
37820,41059
37860,12033
37860,12113
37900,17123
37900,17143
37900,17175
37900,17179
37900,17203
37940,18103
37980,34005
37980,34007
37980,34015
37980,42017
37980,42029
37980,42045
37980,42091
37980,42101
37980,10003
37980,24015
37980,34033
38020,06109
38060,04013
38060,04021
38100,28109
38180,46065
38180,46117
38200,22007
38220,05025
38220,05069
38220,05079
38260,20037
38300,42003
38300,42005
38300,42007
38300,42019
38300,42051
38300,42125
38300,42129
38340,25003
38380,48189
38420,55043
38460,36019
38500,18099
38540,16005
38540,16077
38580,39053
38580,54053
38620,40071
38660,72075
38660,72113
38660,72149
38700,17105
38740,29023
38780,35041
38820,53009
38860,23005
38860,23023
38860,23031
38900,41005
38900,41009
38900,41051
38900,41067
38900,41071
38900,53011
38900,53059
38940,12085
38940,12111
39020,39145
39060,42107
39100,36027
39100,36071
39140,04025
39220,49007
39260,41013
39300,25005
39300,44001
39300,44003
39300,44005
39300,44007
39300,44009
39340,49023
39340,49049
39380,08101
39420,53075
39460,12015
39500,17001
39500,29111
39540,55101
39580,37069
39580,37101
39580,37183
39660,46093
39660,46103
39700,48489
39740,42011
39780,06103
39820,06089
39860,27049
39900,32029
39900,32031
39940,16043
39940,16065
39980,18177
40060,51007
40060,51033
40060,51036
40060,51041
40060,51049
40060,51053
40060,51075
40060,51085
40060,51087
40060,51097
40060,51101
40060,51109
40060,51127
40060,51145
40060,51149
40060,51183
40060,51570
40060,51670
40060,51730
40060,51760
40080,21151
40080,21203
40100,48427
40140,06065
40140,06071
40180,56013
40220,51023
40220,51045
40220,51067
40220,51161
40220,51770
40220,51775
40260,37083
40260,37131
40300,17141
40340,27039
40340,27109
40340,27157
40380,36051
40380,36055
40380,36069
40380,36073
40380,36117
40420,17007
40420,17201
40460,37153
40500,23013
40540,56037
40580,37065
40580,37127
40620,29161
40660,13115
40700,41019
40740,35005
40760,35027
40780,05115
40780,05149
40820,22049
40820,22061
40860,50021
40900,06017
40900,06061
40900,06067
40900,06113
40940,04009
40940,04011
40980,26145
41060,27009
41060,27145
41100,49053
41140,20043
41140,29003
41140,29021
41140,29063
41180,17005
41180,17013
41180,17027
41180,17083
41180,17117
41180,17119
41180,17133
41180,17163
41180,29055
41180,29071
41180,29099
41180,29113
41180,29183
41180,29189
41180,29219
41180,29221
41180,29510
41220,13039
41260,42047
41420,41047
41420,41053
41460,20143
41460,20169
41500,06053
41540,24039
41540,24045
41580,37159
41620,49035
41620,49043
41620,49045
41660,48235
41660,48451
41700,48013
41700,48019
41700,48029
41700,48091
41700,48187
41700,48259
41700,48325
41700,48493
41740,06073
41780,39043
41820,37105
41860,06001
41860,06013
41860,06041
41860,06075
41860,06081
41900,72023
41900,72079
41900,72121
41900,72125
41940,06069
41940,06085
41980,72007
41980,72009
41980,72013
41980,72017
41980,72019
41980,72021
41980,72025
41980,72027
41980,72029
41980,72031
41980,72033
41980,72035
41980,72039
41980,72041
41980,72045
41980,72047
41980,72051
41980,72054
41980,72061
41980,72063
41980,72065
41980,72069
41980,72077
41980,72085
41980,72087
41980,72091
41980,72095
41980,72101
41980,72103
41980,72105
41980,72107
41980,72115
41980,72119
41980,72127
41980,72129
41980,72135
41980,72137
41980,72139
41980,72143
41980,72145
41980,72151
42020,06079
42060,06083
42100,06087
42140,35049
42180,72133
42220,06097
42300,26033
42340,13029
42340,13051
42340,13103
42380,42015
42420,31007
42420,31157
42460,01071
42500,18143
42540,42069
42540,42079
42540,42131
42580,10005
42620,05145
42660,53033
42660,53061
42660,53053
42680,12061
42700,12055
42740,29159
42780,42109
42820,01047
42860,45073
42900,36099
42940,47155
42980,18071
43060,40125
43100,55117
43140,37045
43180,47003
43220,53045
43260,56033
43300,48181
43320,04017
43340,22015
43340,22017
43340,22031
43380,39149
43420,04003
43460,29201
43500,35017
43540,08117
43580,19193
43580,31043
43580,31051
43580,46127
43620,46083
43620,46087
43620,46099
43620,46125
43660,48415
43700,21199
43740,42111
43780,18141
43780,26027
43860,37125
43900,45083
43940,46081
43980,19041
44020,19059
44060,53063
44100,17129
44100,17167
44140,25011
44140,25013
44140,25015
44180,29043
44180,29059
44180,29077
44180,29167
44180,29225
44220,39023
44260,28105
44300,42027
44340,13031
44380,37097
44420,51015
44420,51790
44420,51820
44500,48143
44540,08075
44580,17195
44600,39081
44600,54009
44600,54029
44620,55097
44660,40119
44700,06077
44740,19021
44780,26149
44860,48223
44900,13055
44940,45085
44980,42097
45000,06035
45020,48353
45060,36053
45060,36067
45060,36075
45140,40021
45180,01121
45220,12039
45220,12065
45220,12073
45220,12129
45260,22065
45300,12053
45300,12057
45300,12101
45300,12103
45340,35055
45380,17021
45460,18021
45460,18153
45460,18165
45460,18167
45500,05091
45500,48037
45520,41065
45540,12119
45580,13293
45620,13275
45640,37057
45660,39147
45700,13277
45740,13257
45780,39051
45780,39095
45780,39123
45780,39173
45820,20085
45820,20087
45820,20139
45820,20177
45820,20197
45860,09005
45900,26019
45900,26055
45900,26079
45900,26089
45940,34021
45980,01109
46020,06057
46060,04019
46100,47031
46100,47051
46100,47127
46140,40037
46140,40111
46140,40113
46140,40117
46140,40131
46140,40143
46140,40145
46180,28057
46180,28081
46180,28115
46220,01063
46220,01065
46220,01125
46260,01087
46300,16053
46300,16083
46340,48423
46380,06045
46420,45087
46460,21075
46460,47131
46500,39021
46540,36043
46540,36065
46580,72141
46620,48463
46660,13027
46660,13101
46660,13173
46660,13185
46700,06095
46740,01017
46780,39161
46820,46027
46860,49047
46900,48487
46980,28149
47020,48057
47020,48175
47020,48469
47080,13209
47080,13279
47180,18083
47220,34011
47260,37053
47260,51073
47260,51093
47260,51095
47260,51115
47260,51181
47260,51199
47260,51550
47260,51650
47260,51700
47260,51710
47260,51735
47260,51740
47260,51800
47260,51810
47260,51830
47300,06107
47340,18169
47380,48309
47420,27167
47420,38077
47460,53071
47500,45029
47540,39011
47580,13153
47620,42123
47660,29101
47700,18085
47780,18027
47820,37013
47900,24021
47900,24031
47900,11001
47900,24009
47900,24017
47900,24033
47900,51013
47900,51043
47900,51059
47900,51061
47900,51107
47900,51153
47900,51177
47900,51179
47900,51187
47900,51510
47900,51600
47900,51610
47900,51630
47900,51683
47900,51685
47900,54037
47920,39047
47940,19013
47940,19017
47940,19075
47980,46029
47980,46057
48020,55055
48060,36045
48100,12049
48140,55073
48180,13229
48180,13299
48220,40039
48300,53007
48300,53017
48460,29091
48500,28025
48540,39013
48540,54051
48540,54069
48580,55127
48620,20015
48620,20079
48620,20173
48620,20191
48660,48009
48660,48077
48660,48485
48700,42081
48740,09015
48780,38105
48820,27067
48900,37019
48900,37129
48900,37141
48940,39027
48980,37195
49020,51069
49020,51840
49020,54027
49060,20035
49100,27169
49180,37059
49180,37067
49180,37169
49180,37197
49260,40153
49300,39169
49340,25027
49380,27105
49420,53077
49460,46135
49500,72055
49500,72059
49500,72111
49500,72153
49540,28163
49620,42133
49660,39099
49660,39155
49660,42085
49700,06101
49700,06115
49740,04027
49780,39119
