year,targetState,sourceState,taxReturnInflows,taxExemptionsInflows,adjustedGrossIncomeInflows
2004,9,9,1298471,2748590,90332924000
2003,9,9,1302971,2745004,88871823000
2002,9,9,1295421,2715895,91361107000
2001,9,9,1280310,2688956,94932236000
2000,9,9,1270081,2670644,87245246000
1999,9,9,1251218,2627741,79815776000
1998,9,9,1231278,2588083,73926815000
1997,9,9,1221385,2569421,68960919000
1996,9,9,1214701,2551739,64190713000
1995,9,9,1209762,2539958,58713546000
1994,9,9,1216708,2551533,57626608000
1993,9,9,1233330,2574811,58081271000
2011,9,10,99,152,5091000
2010,9,10,100,160,4066000
2009,9,10,117,222,6579000
2008,9,10,116,186,6166000
2007,9,10,110,195,5626000
2006,9,10,122,211,9133000
2005,9,10,95,177,6089000
2004,9,10,109,214,7100000
2003,9,10,98,194,7081000
2002,9,10,118,226,7421000
2001,9,10,100,192,8009000
2000,9,10,84,146,4529000
1999,9,10,125,242,9975000
1998,9,10,109,214,6509000
1997,9,10,89,177,4770000
1996,9,10,110,220,4824000
1995,9,10,101,200,5414000
1994,9,10,97,201,3934000
1993,9,10,91,172,4049000
2011,9,11,178,231,10160000
2010,9,11,179,226,12006000
2009,9,11,176,216,11641000
2008,9,11,195,247,13552000
2007,9,11,168,217,20163000
2006,9,11,152,197,9663000
2005,9,11,162,213,9029000
2004,9,11,161,199,10607000
2003,9,11,157,206,8689000
2002,9,11,174,234,10797000
2001,9,11,154,195,10555000
2000,9,11,148,190,9848000
1999,9,11,165,227,9345000
1998,9,11,174,231,8189000
1997,9,11,176,217,9155000
1996,9,11,185,247,8513000
1995,9,11,206,283,8128000
1994,9,11,153,209,7565000
1993,9,11,148,201,6500000
2011,9,12,2943,5169,120892000
2010,9,12,2850,4923,110567000
2009,9,12,3211,5574,142256000
2008,9,12,3158,5525,160245000
2007,9,12,2908,5025,135166000
2006,9,12,2962,5134,129865000
2005,9,12,2854,4923,127706000
2004,9,12,2663,4563,132991000
2003,9,12,3124,5420,141203000
2002,9,12,3168,5586,166266000
2001,9,12,3666,6752,226763000
2000,9,12,3618,6758,206465000
1999,9,12,3115,5476,150063000
1998,9,12,2964,5224,130532000
1997,9,12,2739,4862,109128000
1996,9,12,2574,4486,85741000
1995,9,12,2594,4572,82985000
1994,9,12,2470,4398,72634000
1993,9,12,2494,4406,74089000
2011,9,13,775,1519,46572000
2010,9,13,661,1282,35923000
2009,9,13,777,1489,46144000
2008,9,13,757,1506,51294000
2007,9,13,680,1365,56701000
2006,9,13,686,1366,52482000
2005,9,13,690,1390,40884000
2004,9,13,620,1206,38725000
2003,9,13,750,1500,36483000
2002,9,13,808,1636,48656000
2001,9,13,742,1562,58392000
2000,9,13,754,1553,51099000
1999,9,13,711,1457,41382000
1998,9,13,752,1482,35725000
1997,9,13,697,1332,34517000
1996,9,13,611,1248,32964000
1995,9,13,608,1220,23572000
1994,9,13,491,1067,19037000
1993,9,13,496,1013,22617000
2011,9,15,138,271,5394000
2010,9,15,133,282,5764000
2009,9,15,178,367,8480000
2008,9,15,136,263,8366000
2007,9,15,161,304,7062000
2006,9,15,157,340,6706000
2005,9,15,156,320,6247000
2004,9,15,155,325,6808000
2003,9,15,135,282,5332000
2002,9,15,161,351,4988000
2001,9,15,148,296,5794000
2000,9,15,152,363,5045000
1999,9,15,164,350,5457000
1998,9,15,158,356,5530000
1997,9,15,156,323,5165000
1996,9,15,154,309,4508000
1995,9,15,173,359,4603000
1994,9,15,112,223,3486000
1993,9,15,110,216,3264000
2011,9,16,47,96,1696000
2010,9,16,36,70,2519000
2009,9,16,46,84,1610000
2008,9,16,43,83,2179000
2007,9,16,35,56,1404000
2006,9,16,40,73,3749000
2005,9,16,29,54,1016000
2004,9,16,41,74,1388000
2003,9,16,40,64,1014000
2002,9,16,53,94,1364000
2001,9,16,39,74,1331000
2000,9,16,73,143,2896000
1999,9,16,49,97,2474000
1998,9,16,45,80,1948000
1997,9,16,44,71,2318000
1996,9,16,53,113,2132000
1995,9,16,50,103,2180000
1994,9,16,56,105,1454000
1993,9,16,52,97,1216000
2011,9,17,674,1215,68134000
2010,9,17,598,1045,49686000
2009,9,17,654,1127,65412000
2008,9,17,774,1401,105299000
2007,9,17,657,1232,91991000
2006,9,17,652,1225,72132000
2005,9,17,719,1392,96132000
2004,9,17,725,1425,75487000
2003,9,17,731,1396,65636000
2002,9,17,797,1535,97253000
2001,9,17,765,1501,88169000
2000,9,17,840,1665,94978000
1999,9,17,825,1705,89073000
1998,9,17,819,1695,80769000
1997,9,17,856,1728,74052000
1996,9,17,674,1423,65987000
1995,9,17,668,1329,51459000
1994,9,17,723,1543,59212000
1993,9,17,703,1481,52324000
2011,9,18,242,405,14864000
2010,9,18,230,408,13774000
2009,9,18,262,468,17834000
2008,9,18,246,420,13636000
2007,9,18,274,472,20691000
2006,9,18,269,511,14541000
2005,9,18,230,434,15620000
2004,9,18,244,457,12999000
2003,9,18,258,510,27826000
2002,9,18,270,491,17216000
2001,9,18,307,598,19013000
2000,9,18,290,553,18436000
1999,9,18,251,473,16401000
1998,9,18,275,533,15649000
1997,9,18,256,472,11778000
1996,9,18,225,440,11807000
1995,9,18,208,375,9199000
1994,9,18,242,460,11232000
1993,9,18,213,440,14369000
2011,9,19,111,187,4619000
2010,9,19,140,220,5102000
2009,9,19,123,207,5920000
2008,9,19,110,212,8748000
2007,9,19,116,192,8354000
2006,9,19,102,179,7423000
2005,9,19,81,150,5756000
2004,9,19,91,156,3539000
2003,9,19,96,156,5550000
2002,9,19,101,193,6411000
2001,9,19,122,218,8082000
2000,9,19,132,246,5992000
1999,9,19,114,220,5562000
1998,9,19,90,168,4652000
1997,9,19,105,197,4001000
1996,9,19,86,155,3026000
1995,9,19,90,179,5240000
1994,9,19,107,183,2955000
1993,9,19,100,152,2731000
2011,9,20,128,241,10919000
2010,9,20,73,141,3577000
2009,9,20,90,153,4867000
2008,9,20,103,192,7965000
2007,9,20,137,252,11991000
2006,9,20,114,208,6986000
2005,9,20,114,235,8111000
2004,9,20,110,209,7461000
2003,9,20,116,226,9771000
2002,9,20,127,262,9118000
2001,9,20,138,246,14738000
2000,9,20,140,278,12247000
1999,9,20,117,216,5175000
1998,9,20,105,213,5108000
1997,9,20,110,224,6398000
1996,9,20,120,228,5382000
1995,9,20,122,237,10438000
1994,9,20,88,190,4913000
1993,9,20,128,278,6750000
2011,9,21,139,260,8371000
2010,9,21,121,205,5026000
2009,9,21,135,225,5649000
2008,9,21,143,269,8634000
2007,9,21,115,215,6040000
2006,9,21,130,229,6090000
2005,9,21,111,194,5741000
2004,9,21,122,232,6885000
2003,9,21,126,236,6460000
2002,9,21,141,270,8796000
2001,9,21,157,296,11329000
2000,9,21,129,251,9945000
1999,9,21,158,289,7717000
1998,9,21,132,233,6344000
1997,9,21,125,246,6656000
1996,9,21,120,235,4538000
1995,9,21,130,242,6026000
1994,9,21,119,230,9061000
1993,9,21,120,233,5677000
2011,9,22,123,207,5447000
2010,9,22,111,184,4284000
2009,9,22,122,204,6133000
2008,9,22,126,210,5696000
2007,9,22,115,222,5374000
2006,9,22,216,360,6778000
2005,9,22,127,216,4051000
2004,9,22,144,235,5927000
2003,9,22,156,255,5534000
2002,9,22,161,271,5149000
2001,9,22,178,290,7843000
2000,9,22,170,306,7716000
1999,9,22,145,256,5860000
1998,9,22,151,277,6635000
1997,9,22,202,412,10103000
1996,9,22,149,293,5772000
1995,9,22,149,285,5279000
1994,9,22,149,289,5810000
1993,9,22,141,280,4757000
2011,9,23,417,649,16397000
2010,9,23,413,650,15252000
2009,9,23,448,724,18628000
2008,9,23,451,717,16878000
2007,9,23,457,753,20587000
2006,9,23,499,849,18738000
2005,9,23,496,822,22624000
2004,9,23,518,860,20668000
2003,9,23,512,881,17403000
2002,9,23,503,816,17483000
2001,9,23,539,903,20071000
2000,9,23,543,917,20484000
1999,9,23,516,891,21699000
1998,9,23,537,971,18117000
1997,9,23,566,999,15949000
1996,9,23,487,835,12469000
1995,9,23,541,999,13067000
1994,9,23,528,959,13180000
1993,9,23,494,873,11702000
2011,9,24,595,1062,37862000
2010,9,24,491,862,27962000
2009,9,24,589,1061,40687000
2008,9,24,640,1150,53012000
2007,9,24,622,1157,47848000
2006,9,24,647,1171,47756000
2005,9,24,639,1190,49013000
2004,9,24,638,1218,42457000
2003,9,24,590,1126,49152000
2002,9,24,671,1232,50412000
2001,9,24,608,1153,40012000
2000,9,24,648,1243,47388000
1999,9,24,651,1283,63251000
1998,9,24,632,1174,43686000
1997,9,24,619,1176,33852000
1996,9,24,559,1075,32265000
1995,9,24,632,1148,31220000
1994,9,24,565,1098,29726000
1993,9,24,522,1028,24814000
2011,9,25,3713,5707,208753000
2010,9,25,3607,5602,193241000
2009,9,25,3738,5708,220332000
2008,9,25,4291,6635,260403000
2007,9,25,4197,6614,246769000
2006,9,25,4435,7206,247123000
2005,9,25,4570,7442,259533000
2004,9,25,4483,7513,237815000
2003,9,25,4533,7647,242165000
2002,9,25,4549,7529,251243000
2001,9,25,4328,7159,221534000
2000,9,25,4234,6985,231682000
1999,9,25,4177,6858,215075000
1998,9,25,4162,6808,210804000
1997,9,25,3886,6475,183455000
1996,9,25,3750,6170,174732000
1995,9,25,3928,6436,153973000
1994,9,25,3811,6349,151556000
1993,9,25,4234,6781,167919000
2011,9,26,390,642,23694000
2010,9,26,406,719,25225000
2009,9,26,514,948,42865000
2008,9,26,958,2204,144763000
2007,9,26,474,878,36054000
2006,9,26,467,862,33456000
2005,9,26,423,844,38639000
2004,9,26,487,1031,41882000
2003,9,26,422,759,34074000
2002,9,26,512,947,40485000
2001,9,26,465,935,35906000
2000,9,26,447,809,30119000
1999,9,26,488,933,42989000
1998,9,26,412,794,23316000
1997,9,26,371,707,28840000
1996,9,26,398,734,19208000
1995,9,26,383,719,19472000
1994,9,26,393,716,27837000
1993,9,26,372,689,15921000
2011,9,27,220,422,37276000
2010,9,27,203,350,16222000
2009,9,27,250,478,27702000
2008,9,27,261,487,32490000
2007,9,27,255,434,27146000
2006,9,27,207,380,15772000
2005,9,27,219,399,24550000
2004,9,27,223,383,14880000
2003,9,27,237,465,19056000
2002,9,27,271,501,20516000
2001,9,27,217,398,18211000
2000,9,27,236,452,17732000
1999,9,27,216,440,17270000
1998,9,27,236,457,15648000
1997,9,27,220,401,13597000
1996,9,27,195,368,10678000
1995,9,27,206,376,11252000
1994,9,27,180,319,9612000
1993,9,27,176,333,12787000
2011,9,28,55,100,2256000
2010,9,28,68,123,2105000
2009,9,28,47,89,2244000
2008,9,28,57,104,2131000
2007,9,28,60,120,2538000
2006,9,28,75,135,5699000
2005,9,28,56,101,1853000
2004,9,28,72,147,2457000
2003,9,28,70,127,2521000
2002,9,28,78,159,2691000
2001,9,28,98,177,3365000
2000,9,28,81,150,2754000
1999,9,28,76,160,4306000
1998,9,28,70,154,2245000
1997,9,28,94,192,3151000
1996,9,28,70,139,1885000
1995,9,28,90,172,2209000
1994,9,28,53,109,1073000
1993,9,28,60,133,3399000
2011,9,29,215,440,18759000
2010,9,29,186,322,12724000
2009,9,29,208,372,12527000
2008,9,29,209,349,15852000
2007,9,29,218,426,27569000
2006,9,29,191,348,11183000
2005,9,29,212,382,14353000
2004,9,29,199,376,16012000
2003,9,29,223,414,15225000
2002,9,29,268,470,15035000
2001,9,29,230,476,20634000
2000,9,29,228,419,15420000
1999,9,29,231,433,18927000
1998,9,29,229,454,13136000
1997,9,29,236,463,19817000
1996,9,29,199,389,14032000
1995,9,29,209,396,8968000
1994,9,29,174,347,8579000
1993,9,29,193,378,8942000
2011,9,30,41,58,991000
2010,9,30,30,43,769000
2009,9,30,41,66,1697000
2008,9,30,36,51,1216000
2007,9,30,38,53,1814000
2006,9,30,25,38,614000
2005,9,30,39,54,1088000
2004,9,30,42,66,1221000
2003,9,30,30,53,1490000
2002,9,30,57,90,1784000
2001,9,30,62,99,2126000
2000,9,30,39,64,1281000
1999,9,30,35,46,1296000
1998,9,30,53,76,1315000
1997,9,30,42,67,1250000
1996,9,30,55,83,1127000
1995,9,30,53,76,1057000
1994,9,30,38,54,614000
1993,9,30,31,47,364000
2011,9,31,66,134,10303000
2010,9,31,62,111,3027000
2009,9,31,56,98,3082000
2008,9,31,70,138,3901000
2007,9,31,71,127,3991000
2006,9,31,73,139,3387000
2005,9,31,73,141,17978000
2004,9,31,63,123,3523000
2003,9,31,67,127,3616000
2002,9,31,77,175,4085000
2001,9,31,87,158,5894000
2000,9,31,82,136,5878000
1999,9,31,77,166,3372000
1998,9,31,87,170,4288000
1997,9,31,113,241,7243000
1996,9,31,63,116,2392000
1995,9,31,67,125,2163000
1994,9,31,58,92,2123000
1993,9,31,56,97,1673000
2011,9,32,180,310,7988000
2010,9,32,163,279,7835000
2009,9,32,186,299,7991000
2008,9,32,159,231,8423000
2007,9,32,138,238,8978000
2006,9,32,141,238,6962000
2005,9,32,130,236,8255000
2004,9,32,125,208,4502000
2003,9,32,154,272,6523000
2002,9,32,147,250,5397000
2001,9,32,133,208,10083000
2000,9,32,169,295,7489000
1999,9,32,129,243,5575000
1998,9,32,130,221,6415000
1997,9,32,128,224,3967000
1996,9,32,109,177,2716000
1995,9,32,100,175,3868000
1994,9,32,82,144,2027000
1993,9,32,100,196,2663000
2011,9,33,522,804,25224000
2010,9,33,481,736,23640000
2009,9,33,566,880,29682000
2008,9,33,616,943,30031000
2007,9,33,534,880,28918000
2006,9,33,561,888,28478000
2005,9,33,616,1059,35624000
2004,9,33,581,984,29525000
2003,9,33,640,1063,31549000
2002,9,33,605,1011,36644000
2001,9,33,590,1031,32919000
2000,9,33,597,1014,29977000
1999,9,33,611,1060,28161000
1998,9,33,556,975,24237000
1997,9,33,583,1017,30826000
1996,9,33,575,1023,21481000
1995,9,33,596,1051,20952000
1994,9,33,559,951,19830000
1993,9,33,580,966,17605000
2011,9,34,1879,3358,168562000
2010,9,34,1644,2996,149864000
2009,9,34,1754,3155,173216000
2008,9,34,1819,3200,172294000
2007,9,34,1742,3168,162676000
2006,9,34,2068,3899,182099000
2005,9,34,1892,3665,185624000
2004,9,34,1905,3557,159420000
2003,9,34,2028,3770,166249000
2002,9,34,2006,3706,182802000
2001,9,34,1824,3388,171881000
2000,9,34,2064,3883,224498000
1999,9,34,2000,3736,175926000
1998,9,34,1972,3657,155841000
1997,9,34,2007,3636,141603000
1996,9,34,1785,3214,123363000
1995,9,34,1884,3500,123601000
1994,9,34,1729,3224,130697000
1993,9,34,1789,3392,118156000
2011,9,35,67,111,3465000
2010,9,35,87,137,4252000
2009,9,35,90,151,4333000
2008,9,35,82,134,4120000
2007,9,35,73,111,3194000
2006,9,35,71,109,4163000
2005,9,35,91,142,3303000
2004,9,35,78,120,3147000
2003,9,35,92,168,5053000
2002,9,35,102,168,4102000
2001,9,35,97,165,5680000
2000,9,35,115,192,4212000
1999,9,35,110,207,4210000
1998,9,35,112,182,3296000
1997,9,35,103,194,7318000
1996,9,35,94,152,3077000
1995,9,35,91,143,3072000
1994,9,35,60,101,1869000
1993,9,35,74,130,1961000
2011,9,36,8801,15625,937915000
2010,9,36,8767,15468,756704000
2009,9,36,8933,15878,845064000
2008,9,36,9259,16662,892124000
2007,9,36,9271,17023,844279000
2006,9,36,9919,18663,927969000
2005,9,36,10143,19343,980332000
2004,9,36,9700,18343,880472000
2003,9,36,9904,18419,867710000
2002,9,36,9506,17435,870660000
2001,9,36,8994,16158,852146000
2000,9,36,9064,16615,833231000
1999,9,36,8950,16326,690369000
1998,9,36,8755,15989,646766000
1997,9,36,8560,15849,656800000
1996,9,36,8389,15501,583295000
1995,9,36,8578,15818,577432000
1994,9,36,8054,14935,579810000
1993,9,36,8148,15032,575510000
2011,9,37,898,1647,49092000
2010,9,37,861,1536,42989000
2009,9,37,854,1575,40174000
2008,9,37,893,1619,43155000
2007,9,37,821,1493,47957000
2006,9,37,778,1458,38340000
2005,9,37,769,1394,38096000
2004,9,37,786,1465,40112000
2003,9,37,919,1696,47621000
2002,9,37,925,1706,45508000
2001,9,37,933,1730,53329000
2000,9,37,927,1700,50130000
1999,9,37,934,1669,42741000
1998,9,37,901,1702,58978000
1997,9,37,802,1505,34542000
1996,9,37,694,1312,29642000
1995,9,37,707,1301,19478000
1994,9,37,641,1200,20330000
1993,9,37,604,1143,18970000
2011,9,38,23,40,714000
2010,9,38,9,15,217000
2009,9,38,17,26,521000
2008,9,38,25,34,646000
2007,9,38,17,29,696000
2006,9,38,25,40,778000
2005,9,38,11,14,291000
2004,9,38,15,36,736000
2003,9,38,24,36,728000
2002,9,38,19,27,525000
2001,9,38,25,43,629000
2000,9,38,0,0,0
1999,9,38,25,39,737000
1998,9,38,24,37,623000
1997,9,38,28,39,582000
1996,9,38,16,38,427000
1995,9,38,16,39,424000
1994,9,38,24,40,540000
1993,9,38,25,48,784000
2011,9,39,542,998,38499000
2010,9,39,492,841,40884000
2009,9,39,549,1027,37319000
2008,9,39,553,994,48945000
2007,9,39,562,980,40618000
2006,9,39,546,1031,48963000
2005,9,39,574,1029,37833000
2004,9,39,548,988,40400000
2003,9,39,561,1000,33857000
2002,9,39,634,1114,41413000
2001,9,39,676,1235,58667000
2000,9,39,653,1215,48781000
1999,9,39,625,1144,42616000
1998,9,39,636,1206,68127000
1997,9,39,613,1165,32388000
1996,9,39,571,1076,41960000
1995,9,39,599,1109,30263000
1994,9,39,553,1006,29243000
1993,9,39,595,1145,37734000
2011,9,40,116,205,6870000
2010,9,40,77,130,3584000
2009,9,40,84,138,3494000
2008,9,40,99,171,6082000
2007,9,40,74,138,3128000
2006,9,40,97,157,4638000
2005,9,40,93,167,3663000
2004,9,40,114,200,4750000
2003,9,40,116,255,5168000
2002,9,40,119,221,5861000
2001,9,40,138,263,6404000
2000,9,40,118,205,4923000
1999,9,40,114,239,5271000
1998,9,40,94,164,3196000
1997,9,40,105,201,3401000
1996,9,40,97,163,2688000
1995,9,40,104,183,3795000
1994,9,40,103,186,6272000
1993,9,40,102,222,3370000
2011,9,41,124,202,6788000
2010,9,41,136,228,4735000
2009,9,41,139,209,6821000
2008,9,41,138,229,5914000
2007,9,41,125,224,5699000
2006,9,41,128,211,6295000
2005,9,41,137,225,5220000
2004,9,41,143,234,6805000
2003,9,41,156,277,8010000
2002,9,41,157,256,6969000
2001,9,41,141,239,5938000
2000,9,41,157,257,8432000
1999,9,41,152,247,5475000
1998,9,41,154,250,5843000
1997,9,41,137,196,4407000
1996,9,41,132,205,4733000
1995,9,41,139,232,4624000
1994,9,41,117,206,4246000
1993,9,41,125,199,6374000
2011,9,42,1260,2083,78908000
2010,9,42,1165,1913,64332000
2009,9,42,1293,2170,77247000
2008,9,42,1280,2163,77428000
2007,9,42,1308,2217,77948000
2006,9,42,1319,2204,104854000
2005,9,42,1331,2327,87010000
2004,9,42,1222,2111,83027000
2003,9,42,1342,2364,85324000
2002,9,42,1420,2570,89234000
2001,9,42,1395,2493,108377000
2000,9,42,1458,2665,92546000
1999,9,42,1394,2516,102928000
1998,9,42,1422,2675,87978000
1997,9,42,1330,2402,72846000
1996,9,42,1272,2323,65623000
1995,9,42,1329,2461,70916000
1994,9,42,1196,2227,56771000
1993,9,42,1197,2233,58789000
2011,9,44,991,1599,46355000
2010,9,44,1074,1714,50674000
2009,9,44,1151,1852,56435000
2008,9,44,1269,2154,66087000
2007,9,44,1413,2449,69678000
2006,9,44,1516,2755,76996000
2005,9,44,1511,2807,77116000
2004,9,44,1321,2410,60461000
2003,9,44,1219,2045,53670000
2002,9,44,1188,1911,48171000
2001,9,44,1075,1773,45024000
2000,9,44,1075,1779,41053000
1999,9,44,1068,1839,43127000
1998,9,44,1030,1729,38747000
1997,9,44,1007,1738,39956000
1996,9,44,1021,1753,41051000
1995,9,44,1130,1884,37582000
1994,9,44,965,1684,30020000
1993,9,44,956,1696,29002000
2011,9,45,468,810,16824000
2010,9,45,463,865,14909000
2009,9,45,453,834,16976000
2008,9,45,419,753,15659000
2007,9,45,410,740,17741000
2006,9,45,462,884,17817000
2005,9,45,445,790,15688000
2004,9,45,465,872,19290000
2003,9,45,515,968,19355000
2002,9,45,499,913,21866000
2001,9,45,555,1022,22312000
2000,9,45,577,1038,18475000
1999,9,45,413,740,14153000
1998,9,45,372,709,13128000
1997,9,45,396,761,13524000
1996,9,45,441,970,14514000
1995,9,45,690,1681,19918000
1994,9,45,560,1412,14205000
1993,9,45,391,889,9786000
2011,9,46,25,45,1560000
2010,9,46,23,37,728000
2009,9,46,19,36,1586000
2008,9,46,24,45,1068000
2007,9,46,25,40,788000
2006,9,46,28,52,1620000
2005,9,46,25,37,513000
2004,9,46,25,41,866000
2003,9,46,24,45,628000
2002,9,46,35,70,1198000
2001,9,46,23,39,1007000
2000,9,46,0,0,0
1999,9,46,26,44,911000
1998,9,46,35,46,1060000
1997,9,46,22,32,519000
1996,9,46,22,30,449000
1995,9,46,24,45,469000
1994,9,46,16,25,387000
1993,9,46,30,45,472000
2011,9,47,251,472,13442000
2010,9,47,216,419,10178000
2009,9,47,246,463,14259000
2008,9,47,270,503,17982000
2007,9,47,220,414,12508000
2006,9,47,224,430,14261000
2005,9,47,227,451,13651000
2004,9,47,217,407,11121000
2003,9,47,236,437,10586000
2002,9,47,304,602,17177000
2001,9,47,272,540,14519000
2000,9,47,287,563,17508000
1999,9,47,287,573,18930000
1998,9,47,261,518,13637000
1997,9,47,285,558,14558000
1996,9,47,220,423,9379000
1995,9,47,201,385,9315000
1994,9,47,175,323,6908000
1993,9,47,194,407,8591000
2011,9,48,884,1639,61415000
2010,9,48,787,1429,56198000
2009,9,48,877,1648,58578000
2008,9,48,824,1537,70611000
2007,9,48,820,1649,64823000
2006,9,48,822,1516,61025000
2005,9,48,829,1577,56397000
2004,9,48,941,1891,81251000
2003,9,48,1073,2045,82942000
2002,9,48,1058,1998,83228000
2001,9,48,1080,2195,124416000
2000,9,48,962,1880,64896000
1999,9,48,931,1903,98933000
1998,9,48,919,1827,58325000
1997,9,48,894,1781,76114000
1996,9,48,871,1781,60779000
1995,9,48,839,1702,54399000
1994,9,48,806,1648,53094000
1993,9,48,816,1643,46786000
2011,9,49,123,258,6342000
2010,9,49,120,254,3901000
2009,9,49,115,232,5360000
2008,9,49,111,219,5504000
2007,9,49,96,176,3256000
2006,9,49,127,273,4904000
2005,9,49,151,332,6544000
2004,9,49,129,250,6190000
2003,9,49,165,331,7225000
2002,9,49,166,307,6517000
2001,9,49,139,269,6153000
2000,9,49,138,278,6307000
1999,9,49,143,306,5727000
1998,9,49,114,213,3819000
1997,9,49,97,202,3437000
1996,9,49,83,187,3000000
1995,9,49,84,168,2721000
1994,9,49,65,116,1911000
1993,9,49,72,161,2555000
2011,9,50,328,484,14453000
2010,9,50,284,423,12193000
2009,9,50,376,564,16993000
2008,9,50,371,559,17176000
2007,9,50,351,537,16044000
2006,9,50,384,573,16966000
2005,9,50,368,542,14555000
2004,9,50,347,537,12575000
2003,9,50,416,632,14790000
2002,9,50,429,639,15501000
2001,9,50,408,654,19500000
2000,9,50,389,629,13175000
1999,9,50,396,626,14135000
1998,9,50,417,643,12566000
1997,9,50,354,568,10584000
1996,9,50,320,485,9275000
1995,9,50,369,573,9812000
1994,9,50,308,494,8992000
1993,9,50,341,561,9205000
2011,9,51,952,1859,70004000
2010,9,51,865,1609,48116000
2009,9,51,1021,1962,59026000
2008,9,51,1047,2015,68622000
2007,9,51,1099,2239,82273000
2006,9,51,958,1821,62984000
2005,9,51,957,1815,54086000
2004,9,51,933,1801,49365000
2003,9,51,992,1916,59623000
2002,9,51,1063,2060,63130000
2001,9,51,1095,2239,74318000
2000,9,51,1113,2229,63510000
1999,9,51,1132,2239,61451000
1998,9,51,1092,2255,55535000
1997,9,51,1127,2350,53036000
1996,9,51,1008,2065,42573000
1995,9,51,1059,2188,40826000
1994,9,51,945,1986,43571000
1993,9,51,913,1847,39246000
2011,9,53,384,792,26481000
2010,9,53,334,691,19201000
2009,9,53,352,687,24540000
2008,9,53,392,740,31851000
2007,9,53,409,826,29418000
2006,9,53,369,748,24839000
2005,9,53,362,753,23139000
2004,9,53,354,629,22173000
2003,9,53,468,941,31332000
2002,9,53,396,783,18455000
2001,9,53,427,840,22473000
2000,9,53,450,934,26173000
1999,9,53,409,806,62121000
1998,9,53,372,750,18934000
1997,9,53,369,750,14393000
1996,9,53,336,684,13179000
1995,9,53,300,572,12150000
1994,9,53,308,597,12325000
1993,9,53,287,596,11445000
2011,9,54,53,97,3005000
2010,9,54,57,94,2691000
2009,9,54,66,108,2628000
2008,9,54,48,86,2546000
2007,9,54,55,102,2141000
2006,9,54,56,86,2739000
2005,9,54,70,134,3643000
2004,9,54,51,84,2099000
2003,9,54,69,118,4054000
2002,9,54,67,129,2751000
2001,9,54,57,112,2482000
2000,9,54,82,160,4149000
1999,9,54,74,150,3118000
1998,9,54,55,93,1669000
1997,9,54,61,119,2679000
1996,9,54,64,119,2390000
1995,9,54,63,114,1627000
1994,9,54,54,89,1988000
1993,9,54,59,122,2415000
2011,9,55,190,361,16163000
2010,9,55,199,355,12829000
2009,9,55,197,344,13890000
2008,9,55,203,359,13701000
2007,9,55,221,396,18120000
2006,9,55,207,358,14539000
2005,9,55,193,345,13399000
2004,9,55,188,329,11726000
2003,9,55,219,389,14106000
2002,9,55,212,383,24294000
2001,9,55,239,437,12446000
2000,9,55,241,445,16660000
1999,9,55,201,329,13389000
1998,9,55,211,391,12093000
1997,9,55,193,374,10142000
1996,9,55,179,347,9679000
1995,9,55,182,311,9413000
1994,9,55,177,343,9583000
1993,9,55,170,297,6464000
2011,9,56,22,31,752000
2010,9,56,26,42,957000
2009,9,56,17,32,832000
2008,9,56,20,28,1417000
2007,9,56,18,28,1086000
2006,9,56,29,51,1296000
2005,9,56,27,37,689000
2004,9,56,25,34,715000
2003,9,56,30,45,1194000
2002,9,56,40,61,1855000
2001,9,56,29,39,1576000
2000,9,56,29,40,788000
1999,9,56,30,39,851000
1998,9,56,24,31,1058000
1997,9,56,31,45,864000
1996,9,56,25,42,837000
1995,9,56,40,57,1036000
1994,9,56,23,33,799000
1993,9,56,18,36,450000
2011,10,1,45,97,1834000
2010,10,1,51,113,1928000
2009,10,1,46,84,2051000
2008,10,1,49,103,2858000
2007,10,1,60,124,2765000
2006,10,1,56,99,1279000
2005,10,1,55,130,2245000
2004,10,1,58,124,2499000
2003,10,1,50,94,1925000
2002,10,1,55,111,2010000
2001,10,1,73,168,3197000
2000,10,1,67,133,2430000
1999,10,1,55,104,2199000
1998,10,1,50,98,2049000
1997,10,1,56,128,2194000
1996,10,1,57,126,1969000
1995,10,1,56,127,2066000
1994,10,1,76,188,2561000
1993,10,1,59,129,2086000
2011,10,2,30,70,1412000
2010,10,2,35,84,1321000
2009,10,2,19,36,764000
2008,10,2,29,65,1451000
2007,10,2,28,55,755000
2006,10,2,24,68,672000
2005,10,2,23,50,712000
2004,10,2,15,41,497000
2003,10,2,22,51,913000
2002,10,2,28,65,721000
2001,10,2,26,54,1300000
2000,10,2,30,68,902000
1999,10,2,30,77,924000
1998,10,2,21,38,518000
1997,10,2,29,65,796000
1996,10,2,16,45,466000
1995,10,2,30,70,684000
1994,10,2,23,68,734000
1993,10,2,25,80,692000
2011,10,4,97,180,4356000
2010,10,4,120,227,5545000
2009,10,4,130,230,6811000
2008,10,4,104,200,6197000
2007,10,4,107,188,5786000
2006,10,4,96,162,5644000
2005,10,4,96,186,4998000
2004,10,4,99,193,5750000
2003,10,4,94,164,4260000
2002,10,4,101,191,3935000
2001,10,4,100,192,4340000
2000,10,4,104,201,8191000
1999,10,4,93,172,4145000
1998,10,4,89,183,2827000
1997,10,4,65,157,2504000
1996,10,4,56,113,2584000
1995,10,4,74,150,2694000
1994,10,4,60,114,1977000
1993,10,4,64,130,2101000
