id,state,regionalPriceParity,purchasingPower,metroName
36021,36,95.7,104.4932079,New York (Nonmetropolitan Portion)
36023,36,95.7,104.4932079,New York (Nonmetropolitan Portion)
36025,36,95.7,104.4932079,New York (Nonmetropolitan Portion)
36027,36,122.2,81.83306056,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)"
36029,36,93.8,106.6098081,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)"
36031,36,95.7,104.4932079,New York (Nonmetropolitan Portion)
36033,36,95.7,104.4932079,New York (Nonmetropolitan Portion)
36035,36,95.7,104.4932079,New York (Nonmetropolitan Portion)
36037,36,95.7,104.4932079,New York (Nonmetropolitan Portion)
36039,36,95.7,104.4932079,New York (Nonmetropolitan Portion)
36041,36,95.7,104.4932079,New York (Nonmetropolitan Portion)
36043,36,93,107.5268817,"Utica-Rome, NY (Metropolitan Statistical Area)"
36045,36,95.7,104.4932079,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)"
36047,36,122.2,81.83306056,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)"
36049,36,95.7,104.4932079,New York (Nonmetropolitan Portion)
36051,36,97.7,102.3541453,"Rochester, NY (Metropolitan Statistical Area)"
36053,36,95.9,104.2752868,"Syracuse, NY (Metropolitan Statistical Area)"
36055,36,97.7,102.3541453,"Rochester, NY (Metropolitan Statistical Area)"
36057,36,95.7,104.4932079,New York (Nonmetropolitan Portion)
36059,36,122.2,81.83306056,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)"
36061,36,122.2,81.83306056,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)"
36063,36,93.8,106.6098081,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)"
36065,36,93,107.5268817,"Utica-Rome, NY (Metropolitan Statistical Area)"
36067,36,95.9,104.2752868,"Syracuse, NY (Metropolitan Statistical Area)"
36069,36,97.7,102.3541453,"Rochester, NY (Metropolitan Statistical Area)"
36071,36,122.2,81.83306056,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)"
36073,36,97.7,102.3541453,"Rochester, NY (Metropolitan Statistical Area)"
36075,36,95.9,104.2752868,"Syracuse, NY (Metropolitan Statistical Area)"
36077,36,95.7,104.4932079,New York (Nonmetropolitan Portion)
36079,36,122.2,81.83306056,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)"
36081,36,122.2,81.83306056,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)"
36083,36,99.1,100.9081736,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)"
36085,36,122.2,81.83306056,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)"
36087,36,122.2,81.83306056,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)"
36089,36,95.7,104.4932079,New York (Nonmetropolitan Portion)
36091,36,99.1,100.9081736,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)"
36093,36,99.1,100.9081736,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)"
36095,36,99.1,100.9081736,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)"
36097,36,95.7,104.4932079,New York (Nonmetropolitan Portion)
36099,36,95.7,104.4932079,New York (Nonmetropolitan Portion)
36101,36,95.7,104.4932079,New York (Nonmetropolitan Portion)
36103,36,122.2,81.83306056,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)"
36105,36,95.7,104.4932079,New York (Nonmetropolitan Portion)
36107,36,95.6,104.6025105,"Binghamton, NY (Metropolitan Statistical Area)"
36109,36,104.3,95.87727709,"Ithaca, NY (Metropolitan Statistical Area)"
36111,36,102.6,97.46588694,"Kingston, NY (Metropolitan Statistical Area)"
36113,36,97.7,102.3541453,"Glens Falls, NY (Metropolitan Statistical Area)"
36115,36,97.7,102.3541453,"Glens Falls, NY (Metropolitan Statistical Area)"
36117,36,97.7,102.3541453,"Rochester, NY (Metropolitan Statistical Area)"
36119,36,122.2,81.83306056,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)"
36121,36,95.7,104.4932079,New York (Nonmetropolitan Portion)
36123,36,97.7,102.3541453,"Rochester, NY (Metropolitan Statistical Area)"
37001,37,90,111.1111111,"Burlington, NC (Metropolitan Statistical Area)"
37003,37,89,112.3595506,"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)"
37005,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37007,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37009,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37011,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37013,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37015,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37017,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37019,37,93.3,107.1811361,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)"
37021,37,92,108.6956522,"Asheville, NC (Metropolitan Statistical Area)"
37023,37,89,112.3595506,"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)"
37025,37,94.3,106.0445387,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"
37027,37,89,112.3595506,"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)"
37029,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37031,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37033,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37035,37,89,112.3595506,"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)"
37037,37,95,105.2631579,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)"
37039,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37041,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37043,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37045,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37047,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37049,37,86.5,115.6069364,"New Bern, NC (Metropolitan Statistical Area)"
37051,37,91.5,109.2896175,"Fayetteville, NC (Metropolitan Statistical Area)"
37053,37,99.3,100.7049345,"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)"
37055,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37057,37,90.9,110.0110011,"Winston-Salem, NC (Metropolitan Statistical Area)"
37059,37,90.9,110.0110011,"Winston-Salem, NC (Metropolitan Statistical Area)"
37061,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37063,37,95,105.2631579,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)"
37065,37,86.8,115.2073733,"Rocky Mount, NC (Metropolitan Statistical Area)"
37067,37,90.9,110.0110011,"Winston-Salem, NC (Metropolitan Statistical Area)"
37069,37,95.2,105.0420168,"Raleigh, NC (Metropolitan Statistical Area)"
37071,37,94.3,106.0445387,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"
37073,37,99.3,100.7049345,"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)"
37075,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37077,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37079,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37081,37,90.4,110.619469,"Greensboro-High Point, NC (Metropolitan Statistical Area)"
37083,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37085,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37087,37,92,108.6956522,"Asheville, NC (Metropolitan Statistical Area)"
37089,37,92,108.6956522,"Asheville, NC (Metropolitan Statistical Area)"
37091,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37093,37,91.5,109.2896175,"Fayetteville, NC (Metropolitan Statistical Area)"
37095,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37097,37,94.3,106.0445387,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"
37099,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37101,37,95.2,105.0420168,"Raleigh, NC (Metropolitan Statistical Area)"
37103,37,86.5,115.6069364,"New Bern, NC (Metropolitan Statistical Area)"
37105,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37107,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37109,37,94.3,106.0445387,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"
37111,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37113,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37115,37,92,108.6956522,"Asheville, NC (Metropolitan Statistical Area)"
37117,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37119,37,94.3,106.0445387,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"
37121,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37123,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37125,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37127,37,86.8,115.2073733,"Rocky Mount, NC (Metropolitan Statistical Area)"
37129,37,93.9,106.4962726,"Wilmington, NC (Metropolitan Statistical Area)"
37131,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37133,37,96,104.1666667,"Jacksonville, NC (Metropolitan Statistical Area)"
37135,37,95,105.2631579,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)"
37137,37,86.5,115.6069364,"New Bern, NC (Metropolitan Statistical Area)"
37139,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37141,37,93.9,106.4962726,"Wilmington, NC (Metropolitan Statistical Area)"
37143,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37145,37,95,105.2631579,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)"
37147,37,88.4,113.1221719,"Greenville, NC (Metropolitan Statistical Area)"
37149,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37151,37,90.4,110.619469,"Greensboro-High Point, NC (Metropolitan Statistical Area)"
37153,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37155,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37157,37,90.4,110.619469,"Greensboro-High Point, NC (Metropolitan Statistical Area)"
37159,37,94.3,106.0445387,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"
37161,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37163,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37165,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37167,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37169,37,90.9,110.0110011,"Winston-Salem, NC (Metropolitan Statistical Area)"
37171,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37173,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37175,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37177,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37179,37,94.3,106.0445387,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"
37181,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37183,37,95.2,105.0420168,"Raleigh, NC (Metropolitan Statistical Area)"
37185,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37187,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37189,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37191,37,86.8,115.2073733,"Goldsboro, NC (Metropolitan Statistical Area)"
37193,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37195,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
37197,37,90.9,110.0110011,"Winston-Salem, NC (Metropolitan Statistical Area)"
37199,37,86.5,115.6069364,North Carolina (Nonmetropolitan Portion)
38001,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38003,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38005,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38007,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38009,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38011,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38013,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38015,38,94,106.3829787,"Bismarck, ND (Metropolitan Statistical Area)"
38017,38,93.5,106.9518717,"Fargo, ND-MN (Metropolitan Statistical Area)"
38019,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38021,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38023,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38025,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38027,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38029,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38031,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38033,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38035,38,92.8,107.7586207,"Grand Forks, ND-MN (Metropolitan Statistical Area)"
38037,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38039,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38041,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38043,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38045,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38047,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38049,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38051,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38053,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38055,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38057,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38059,38,94,106.3829787,"Bismarck, ND (Metropolitan Statistical Area)"
38061,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38063,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38065,38,94,106.3829787,"Bismarck, ND (Metropolitan Statistical Area)"
38067,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38069,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38071,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38073,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38075,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38077,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38079,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38081,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38083,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38085,38,94,106.3829787,"Bismarck, ND (Metropolitan Statistical Area)"
38087,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38089,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38091,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38093,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
38095,38,86.7,115.3402537,North Dakota (Nonmetropolitan Portion)
