year,incomeTaxRate,incomeGreaterThan,incomeNotGreaterThan,filingStatus
1978,0.14,2200,2700,single
1978,0.15,2700,3200,single
1978,0.16,3200,3700,single
1978,0.17,3700,4200,single
1978,0.19,4200,6200,single
1978,0.21,6200,8200,single
1978,0.24,8200,10200,single
1978,0.25,10200,12200,single
1978,0.27,12200,14200,single
1978,0.29,14200,16200,single
1978,0.31,16200,18200,single
1978,0.34,18200,20200,single
1978,0.36,20200,22200,single
1978,0.38,22200,24200,single
1978,0.4,24200,28200,single
1978,0.45,28200,34200,single
1978,0.5,34200,40200,single
1978,0.55,40200,46200,single
1978,0.6,46200,52200,single
1978,0.62,52200,62200,single
1978,0.64,62200,72200,single
1978,0.66,72200,82200,single
1978,0.68,82200,92200,single
1978,0.69,92200,102200,single
1978,0.7,102200,,single
1977,0,0,2200,headOfHousehold
1977,0.14,2200,3200,headOfHousehold
1977,0.16,3200,4200,headOfHousehold
1977,0.18,4200,6200,headOfHousehold
1977,0.19,6200,8200,headOfHousehold
1977,0.22,8200,10200,headOfHousehold
1977,0.23,10200,12200,headOfHousehold
1977,0.25,12200,14200,headOfHousehold
1977,0.27,14200,16200,headOfHousehold
1977,0.28,16200,18200,headOfHousehold
1977,0.31,18200,20200,headOfHousehold
1977,0.32,20200,22200,headOfHousehold
1977,0.35,22200,24200,headOfHousehold
1977,0.36,24200,26200,headOfHousehold
1977,0.38,26200,28200,headOfHousehold
1977,0.41,28200,30200,headOfHousehold
1977,0.42,30200,34200,headOfHousehold
1977,0.45,34200,38200,headOfHousehold
1977,0.48,38200,40200,headOfHousehold
1977,0.51,40200,42200,headOfHousehold
1977,0.52,42200,46200,headOfHousehold
1977,0.55,46200,52200,headOfHousehold
1977,0.56,52200,54200,headOfHousehold
1977,0.58,54200,66200,headOfHousehold
1977,0.59,66200,72200,headOfHousehold
1977,0.61,72200,78200,headOfHousehold
1977,0.62,78200,82200,headOfHousehold
1977,0.63,82200,90200,headOfHousehold
1977,0.64,90200,102200,headOfHousehold
1977,0.66,102200,122200,headOfHousehold
1977,0.67,122200,142200,headOfHousehold
1977,0.68,142200,162200,headOfHousehold
1977,0.69,162200,182200,headOfHousehold
1977,0.7,182200,,headOfHousehold
1977,0,0,3200,marriedFilingJointly
1977,0.14,3200,4200,marriedFilingJointly
1977,0.15,4200,5200,marriedFilingJointly
1977,0.16,5200,6200,marriedFilingJointly
1977,0.17,6200,7200,marriedFilingJointly
1977,0.19,7200,11200,marriedFilingJointly
1977,0.22,11200,15200,marriedFilingJointly
1977,0.25,15200,19200,marriedFilingJointly
1977,0.28,19200,23200,marriedFilingJointly
1977,0.32,23200,27200,marriedFilingJointly
1977,0.36,27200,31200,marriedFilingJointly
1977,0.39,31200,35200,marriedFilingJointly
1977,0.42,35200,39200,marriedFilingJointly
1977,0.45,39200,43200,marriedFilingJointly
1977,0.48,43200,47200,marriedFilingJointly
1977,0.5,47200,55200,marriedFilingJointly
1977,0.53,55200,67200,marriedFilingJointly
1977,0.55,67200,79200,marriedFilingJointly
1977,0.58,79200,91200,marriedFilingJointly
1977,0.6,91200,103200,marriedFilingJointly
1977,0.62,103200,123200,marriedFilingJointly
1977,0.64,123200,143200,marriedFilingJointly
1977,0.66,143200,163200,marriedFilingJointly
1977,0.68,163200,183200,marriedFilingJointly
1977,0.69,183200,203200,marriedFilingJointly
1977,0.7,203200,,marriedFilingJointly
1977,0,0,1600,marriedFilingSeparately
1977,0.14,1600,2100,marriedFilingSeparately
1977,0.15,2100,2600,marriedFilingSeparately
1977,0.16,2600,3100,marriedFilingSeparately
1977,0.17,3100,3600,marriedFilingSeparately
1977,0.19,3600,5600,marriedFilingSeparately
1977,0.22,5600,7600,marriedFilingSeparately
1977,0.25,7600,9500,marriedFilingSeparately
1977,0.28,9500,11600,marriedFilingSeparately
1977,0.32,11600,13600,marriedFilingSeparately
1977,0.36,13600,15600,marriedFilingSeparately
1977,0.39,15600,17600,marriedFilingSeparately
1977,0.42,17600,19600,marriedFilingSeparately
1977,0.45,19600,21600,marriedFilingSeparately
1977,0.48,21600,23600,marriedFilingSeparately
1977,0.5,23600,27600,marriedFilingSeparately
1977,0.53,27600,33600,marriedFilingSeparately
1977,0.55,33600,39600,marriedFilingSeparately
1977,0.58,39600,45600,marriedFilingSeparately
1977,0.6,45600,51600,marriedFilingSeparately
1977,0.62,51600,61600,marriedFilingSeparately
1977,0.64,61600,71600,marriedFilingSeparately
1977,0.66,71600,81600,marriedFilingSeparately
1977,0.68,81600,91600,marriedFilingSeparately
1977,0.69,91600,101600,marriedFilingSeparately
1977,0.7,101600,,marriedFilingSeparately
1977,0,0,2200,single
1977,0.14,2200,2700,single
1977,0.15,2700,3200,single
1977,0.16,3200,3700,single
1977,0.17,3700,4200,single
1977,0.19,4200,6200,single
1977,0.21,6200,8200,single
1977,0.24,8200,10200,single
1977,0.25,10200,12200,single
1977,0.27,12200,14200,single
1977,0.29,14200,16200,single
1977,0.31,16200,18200,single
1977,0.34,18200,20200,single
1977,0.36,20200,22200,single
1977,0.38,22200,24200,single
1977,0.4,24200,28200,single
1977,0.45,28200,34200,single
1977,0.5,34200,40200,single
1977,0.55,40200,46200,single
1977,0.6,46200,52200,single
1977,0.62,52200,62200,single
1977,0.64,62200,72200,single
1977,0.66,72200,82200,single
1977,0.68,82200,92200,single
1977,0.69,92200,102200,single
1977,0.7,102200,,single
1976,0.14,0,1000,headOfHousehold
1976,0.16,1000,2000,headOfHousehold
1976,0.18,2000,4000,headOfHousehold
1976,0.19,4000,6000,headOfHousehold
1976,0.22,6000,8000,headOfHousehold
1976,0.23,8000,10000,headOfHousehold
1976,0.25,10000,12000,headOfHousehold
1976,0.27,12000,14000,headOfHousehold
1976,0.28,14000,16000,headOfHousehold
1976,0.31,16000,18000,headOfHousehold
1976,0.32,18000,20000,headOfHousehold
1976,0.35,20000,22000,headOfHousehold
1976,0.36,22000,24000,headOfHousehold
1976,0.38,24000,26000,headOfHousehold
1976,0.41,26000,28000,headOfHousehold
1976,0.42,28000,32000,headOfHousehold
1976,0.45,32000,36000,headOfHousehold
1976,0.48,36000,38000,headOfHousehold
1976,0.51,38000,40000,headOfHousehold
1976,0.52,40000,44000,headOfHousehold
1976,0.55,44000,50000,headOfHousehold
1976,0.56,50000,52000,headOfHousehold
1976,0.58,52000,64000,headOfHousehold
1976,0.59,64000,70000,headOfHousehold
1976,0.61,70000,76000,headOfHousehold
1976,0.62,76000,80000,headOfHousehold
1976,0.63,80000,88000,headOfHousehold
1976,0.64,88000,100000,headOfHousehold
1976,0.66,100000,120000,headOfHousehold
1976,0.67,120000,140000,headOfHousehold
1976,0.68,140000,160000,headOfHousehold
1976,0.69,160000,180000,headOfHousehold
1976,0.7,180000,,headOfHousehold
1976,0.14,0,1000,marriedFilingJointly
1976,0.15,1000,2000,marriedFilingJointly
1976,0.16,2000,3000,marriedFilingJointly
1976,0.17,3000,4000,marriedFilingJointly
1976,0.19,4000,8000,marriedFilingJointly
1976,0.22,8000,12000,marriedFilingJointly
1976,0.25,12000,16000,marriedFilingJointly
1976,0.28,16000,20000,marriedFilingJointly
1976,0.32,20000,24000,marriedFilingJointly
1976,0.36,24000,28000,marriedFilingJointly
1976,0.39,28000,32000,marriedFilingJointly
1976,0.42,32000,36000,marriedFilingJointly
1976,0.45,36000,40000,marriedFilingJointly
1976,0.48,40000,44000,marriedFilingJointly
1976,0.5,44000,52000,marriedFilingJointly
1976,0.53,52000,64000,marriedFilingJointly
1976,0.55,64000,76000,marriedFilingJointly
1976,0.58,76000,88000,marriedFilingJointly
1976,0.6,88000,100000,marriedFilingJointly
1976,0.62,100000,120000,marriedFilingJointly
1976,0.64,120000,140000,marriedFilingJointly
1976,0.66,140000,160000,marriedFilingJointly
1976,0.68,160000,180000,marriedFilingJointly
1976,0.69,180000,200000,marriedFilingJointly
1976,0.7,200000,,marriedFilingJointly
1976,0.14,0,500,marriedFilingSeparately
1976,0.15,500,1000,marriedFilingSeparately
1976,0.16,1000,1500,marriedFilingSeparately
1976,0.17,1500,2000,marriedFilingSeparately
1976,0.19,2000,4000,marriedFilingSeparately
1976,0.22,4000,6000,marriedFilingSeparately
1976,0.25,6000,8000,marriedFilingSeparately
1976,0.28,8000,10000,marriedFilingSeparately
1976,0.32,10000,12000,marriedFilingSeparately
1976,0.36,12000,14000,marriedFilingSeparately
1976,0.39,14000,16000,marriedFilingSeparately
1976,0.42,16000,18000,marriedFilingSeparately
1976,0.45,18000,20000,marriedFilingSeparately
1976,0.48,20000,22000,marriedFilingSeparately
1976,0.5,22000,26000,marriedFilingSeparately
1976,0.53,26000,32000,marriedFilingSeparately
1976,0.55,32000,38000,marriedFilingSeparately
1976,0.58,38000,44000,marriedFilingSeparately
1976,0.6,44000,50000,marriedFilingSeparately
1976,0.62,50000,60000,marriedFilingSeparately
1976,0.64,60000,70000,marriedFilingSeparately
1976,0.66,70000,80000,marriedFilingSeparately
1976,0.68,80000,90000,marriedFilingSeparately
1976,0.69,90000,100000,marriedFilingSeparately
1976,0.7,100000,,marriedFilingSeparately
1976,0.14,0,500,single
1976,0.15,500,1000,single
1976,0.16,1000,1500,single
1976,0.17,1500,2000,single
1976,0.19,2000,4000,single
1976,0.21,4000,6000,single
1976,0.24,6000,8000,single
1976,0.25,8000,10000,single
1976,0.27,10000,12000,single
1976,0.29,12000,14000,single
1976,0.31,14000,16000,single
1976,0.34,16000,18000,single
1976,0.36,18000,20000,single
1976,0.38,20000,22000,single
1976,0.4,22000,26000,single
1976,0.45,26000,32000,single
1976,0.5,32000,38000,single
1976,0.55,38000,44000,single
1976,0.6,44000,50000,single
1976,0.62,50000,60000,single
1976,0.64,60000,70000,single
1976,0.66,70000,80000,single
1976,0.68,80000,90000,single
1976,0.69,90000,100000,single
1976,0.7,100000,,single
1975,0.14,0,1000,headOfHousehold
1975,0.16,1000,2000,headOfHousehold
1975,0.18,2000,4000,headOfHousehold
1975,0.19,4000,6000,headOfHousehold
1975,0.22,6000,8000,headOfHousehold
1975,0.23,8000,10000,headOfHousehold
1975,0.25,10000,12000,headOfHousehold
1975,0.27,12000,14000,headOfHousehold
1975,0.28,14000,16000,headOfHousehold
1975,0.31,16000,18000,headOfHousehold
1975,0.32,18000,20000,headOfHousehold
1975,0.35,20000,22000,headOfHousehold
1975,0.36,22000,24000,headOfHousehold
1975,0.38,24000,26000,headOfHousehold
1975,0.41,26000,28000,headOfHousehold
1975,0.42,28000,32000,headOfHousehold
1975,0.45,32000,36000,headOfHousehold
1975,0.48,36000,38000,headOfHousehold
1975,0.51,38000,40000,headOfHousehold
1975,0.52,40000,44000,headOfHousehold
1975,0.55,44000,50000,headOfHousehold
1975,0.56,50000,52000,headOfHousehold
1975,0.58,52000,64000,headOfHousehold
1975,0.59,64000,70000,headOfHousehold
1975,0.61,70000,76000,headOfHousehold
1975,0.62,76000,80000,headOfHousehold
1975,0.63,80000,88000,headOfHousehold
1975,0.64,88000,100000,headOfHousehold
1975,0.66,100000,120000,headOfHousehold
1975,0.67,120000,140000,headOfHousehold
1975,0.68,140000,160000,headOfHousehold
1975,0.69,160000,180000,headOfHousehold
1975,0.7,180000,,headOfHousehold
1975,0.14,0,1000,marriedFilingJointly
1975,0.15,1000,2000,marriedFilingJointly
1975,0.16,2000,3000,marriedFilingJointly
1975,0.17,3000,4000,marriedFilingJointly
1975,0.19,4000,8000,marriedFilingJointly
1975,0.22,8000,12000,marriedFilingJointly
1975,0.25,12000,16000,marriedFilingJointly
1975,0.28,16000,20000,marriedFilingJointly
1975,0.32,20000,24000,marriedFilingJointly
1975,0.36,24000,28000,marriedFilingJointly
1975,0.39,28000,32000,marriedFilingJointly
1975,0.42,32000,36000,marriedFilingJointly
1975,0.45,36000,40000,marriedFilingJointly
1975,0.48,40000,44000,marriedFilingJointly
1975,0.5,44000,52000,marriedFilingJointly
1975,0.53,52000,64000,marriedFilingJointly
1975,0.55,64000,76000,marriedFilingJointly
1975,0.58,76000,88000,marriedFilingJointly
1975,0.6,88000,100000,marriedFilingJointly
1975,0.62,100000,120000,marriedFilingJointly
1975,0.64,120000,140000,marriedFilingJointly
1975,0.66,140000,160000,marriedFilingJointly
1975,0.68,160000,180000,marriedFilingJointly
1975,0.69,180000,200000,marriedFilingJointly
1975,0.7,200000,,marriedFilingJointly
1975,0.14,0,500,marriedFilingSeparately
1975,0.15,500,1000,marriedFilingSeparately
1975,0.16,1000,1500,marriedFilingSeparately
1975,0.17,1500,2000,marriedFilingSeparately
1975,0.19,2000,4000,marriedFilingSeparately
1975,0.22,4000,6000,marriedFilingSeparately
1975,0.25,6000,8000,marriedFilingSeparately
1975,0.28,8000,10000,marriedFilingSeparately
1975,0.32,10000,12000,marriedFilingSeparately
1975,0.36,12000,14000,marriedFilingSeparately
1975,0.39,14000,16000,marriedFilingSeparately
1975,0.42,16000,18000,marriedFilingSeparately
1975,0.45,18000,20000,marriedFilingSeparately
1975,0.48,20000,22000,marriedFilingSeparately
1975,0.5,22000,26000,marriedFilingSeparately
1975,0.53,26000,32000,marriedFilingSeparately
1975,0.55,32000,38000,marriedFilingSeparately
1975,0.58,38000,44000,marriedFilingSeparately
1975,0.6,44000,50000,marriedFilingSeparately
1975,0.62,50000,60000,marriedFilingSeparately
1975,0.64,60000,70000,marriedFilingSeparately
1975,0.66,70000,80000,marriedFilingSeparately
1975,0.68,80000,90000,marriedFilingSeparately
1975,0.69,90000,100000,marriedFilingSeparately
1975,0.7,100000,,marriedFilingSeparately
1975,0.14,0,500,single
1975,0.15,500,1000,single
1975,0.16,1000,1500,single
1975,0.17,1500,2000,single
1975,0.19,2000,4000,single
1975,0.21,4000,6000,single
1975,0.24,6000,8000,single
1975,0.25,8000,10000,single
1975,0.27,10000,12000,single
1975,0.29,12000,14000,single
1975,0.31,14000,16000,single
1975,0.34,16000,18000,single
1975,0.36,18000,20000,single
1975,0.38,20000,22000,single
1975,0.4,22000,26000,single
1975,0.45,26000,32000,single
1975,0.5,32000,38000,single
1975,0.55,38000,44000,single
1975,0.6,44000,50000,single
1975,0.62,50000,60000,single
1975,0.64,60000,70000,single
1975,0.66,70000,80000,single
1975,0.68,80000,90000,single
1975,0.69,90000,100000,single
1975,0.7,100000,,single
1974,0.14,0,1000,headOfHousehold
1974,0.16,1000,2000,headOfHousehold
1974,0.18,2000,4000,headOfHousehold
1974,0.19,4000,6000,headOfHousehold
1974,0.22,6000,8000,headOfHousehold
1974,0.23,8000,10000,headOfHousehold
1974,0.25,10000,12000,headOfHousehold
1974,0.27,12000,14000,headOfHousehold
1974,0.28,14000,16000,headOfHousehold
1974,0.31,16000,18000,headOfHousehold
1974,0.32,18000,20000,headOfHousehold
1974,0.35,20000,22000,headOfHousehold
1974,0.36,22000,24000,headOfHousehold
1974,0.38,24000,26000,headOfHousehold
1974,0.41,26000,28000,headOfHousehold
1974,0.42,28000,32000,headOfHousehold
1974,0.45,32000,36000,headOfHousehold
1974,0.48,36000,38000,headOfHousehold
1974,0.51,38000,40000,headOfHousehold
1974,0.52,40000,44000,headOfHousehold
1974,0.55,44000,50000,headOfHousehold
1974,0.56,50000,52000,headOfHousehold
1974,0.58,52000,64000,headOfHousehold
1974,0.59,64000,70000,headOfHousehold
1974,0.61,70000,76000,headOfHousehold
1974,0.62,76000,80000,headOfHousehold
1974,0.63,80000,88000,headOfHousehold
1974,0.64,88000,100000,headOfHousehold
1974,0.66,100000,120000,headOfHousehold
1974,0.67,120000,140000,headOfHousehold
1974,0.68,140000,160000,headOfHousehold
1974,0.69,160000,180000,headOfHousehold
1974,0.7,180000,,headOfHousehold
1974,0.14,0,1000,marriedFilingJointly
1974,0.15,1000,2000,marriedFilingJointly
1974,0.16,2000,3000,marriedFilingJointly
1974,0.17,3000,4000,marriedFilingJointly
1974,0.19,4000,8000,marriedFilingJointly
1974,0.22,8000,12000,marriedFilingJointly
1974,0.25,12000,16000,marriedFilingJointly
1974,0.28,16000,20000,marriedFilingJointly
1974,0.32,20000,24000,marriedFilingJointly
1974,0.36,24000,28000,marriedFilingJointly
1974,0.39,28000,32000,marriedFilingJointly
1974,0.42,32000,36000,marriedFilingJointly
1974,0.45,36000,40000,marriedFilingJointly
1974,0.48,40000,44000,marriedFilingJointly
1974,0.5,44000,52000,marriedFilingJointly
1974,0.53,52000,64000,marriedFilingJointly
1974,0.55,64000,76000,marriedFilingJointly
1974,0.58,76000,88000,marriedFilingJointly
1974,0.6,88000,100000,marriedFilingJointly
1974,0.62,100000,120000,marriedFilingJointly
1974,0.64,120000,140000,marriedFilingJointly
1974,0.66,140000,160000,marriedFilingJointly
1974,0.68,160000,180000,marriedFilingJointly
1974,0.69,180000,200000,marriedFilingJointly
1974,0.7,200000,,marriedFilingJointly
1974,0.14,0,500,marriedFilingSeparately
1974,0.15,500,1000,marriedFilingSeparately
1974,0.16,1000,1500,marriedFilingSeparately
1974,0.17,1500,2000,marriedFilingSeparately
1974,0.19,2000,4000,marriedFilingSeparately
1974,0.22,4000,6000,marriedFilingSeparately
1974,0.25,6000,8000,marriedFilingSeparately
1974,0.28,8000,10000,marriedFilingSeparately
1974,0.32,10000,12000,marriedFilingSeparately
1974,0.36,12000,14000,marriedFilingSeparately
1974,0.39,14000,16000,marriedFilingSeparately
1974,0.42,16000,18000,marriedFilingSeparately
1974,0.45,18000,20000,marriedFilingSeparately
1974,0.48,20000,22000,marriedFilingSeparately
1974,0.5,22000,26000,marriedFilingSeparately
1974,0.53,26000,32000,marriedFilingSeparately
1974,0.55,32000,38000,marriedFilingSeparately
1974,0.58,38000,44000,marriedFilingSeparately
1974,0.6,44000,50000,marriedFilingSeparately
1974,0.62,50000,60000,marriedFilingSeparately
1974,0.64,60000,70000,marriedFilingSeparately
1974,0.66,70000,80000,marriedFilingSeparately
1974,0.68,80000,90000,marriedFilingSeparately
1974,0.69,90000,100000,marriedFilingSeparately
1974,0.7,100000,,marriedFilingSeparately
1974,0.14,0,500,single
1974,0.15,500,1000,single
1974,0.16,1000,1500,single
1974,0.17,1500,2000,single
1974,0.19,2000,4000,single
1974,0.21,4000,6000,single
1974,0.24,6000,8000,single
1974,0.25,8000,10000,single
1974,0.27,10000,12000,single
1974,0.29,12000,14000,single
1974,0.31,14000,16000,single
1974,0.34,16000,18000,single
1974,0.36,18000,20000,single
1974,0.38,20000,22000,single
1974,0.4,22000,26000,single
1974,0.45,26000,32000,single
1974,0.5,32000,38000,single
1974,0.55,38000,44000,single
1974,0.6,44000,50000,single
1974,0.62,50000,60000,single
1974,0.64,60000,70000,single
1974,0.66,70000,80000,single
1974,0.68,80000,90000,single
1974,0.69,90000,100000,single
1974,0.7,100000,,single
1973,0.14,0,1000,headOfHousehold
1973,0.16,1000,2000,headOfHousehold
1973,0.18,2000,4000,headOfHousehold
1973,0.19,4000,6000,headOfHousehold
1973,0.22,6000,8000,headOfHousehold
1973,0.23,8000,10000,headOfHousehold
1973,0.25,10000,12000,headOfHousehold
1973,0.27,12000,14000,headOfHousehold
1973,0.28,14000,16000,headOfHousehold
1973,0.31,16000,18000,headOfHousehold
1973,0.32,18000,20000,headOfHousehold
1973,0.35,20000,22000,headOfHousehold
1973,0.36,22000,24000,headOfHousehold
1973,0.38,24000,26000,headOfHousehold
1973,0.41,26000,28000,headOfHousehold
1973,0.42,28000,32000,headOfHousehold
1973,0.45,32000,36000,headOfHousehold
1973,0.48,36000,38000,headOfHousehold
1973,0.51,38000,40000,headOfHousehold
1973,0.52,40000,44000,headOfHousehold
1973,0.55,44000,50000,headOfHousehold
1973,0.56,50000,52000,headOfHousehold
1973,0.58,52000,64000,headOfHousehold
1973,0.59,64000,70000,headOfHousehold
1973,0.61,70000,76000,headOfHousehold
1973,0.62,76000,80000,headOfHousehold
1973,0.63,80000,88000,headOfHousehold
1973,0.64,88000,100000,headOfHousehold
1973,0.66,100000,120000,headOfHousehold
1973,0.67,120000,140000,headOfHousehold
1973,0.68,140000,160000,headOfHousehold
1973,0.69,160000,180000,headOfHousehold
1973,0.7,180000,,headOfHousehold
1973,0.14,0,1000,marriedFilingJointly
1973,0.15,1000,2000,marriedFilingJointly
1973,0.16,2000,3000,marriedFilingJointly
1973,0.17,3000,4000,marriedFilingJointly
1973,0.19,4000,8000,marriedFilingJointly
1973,0.22,8000,12000,marriedFilingJointly
1973,0.25,12000,16000,marriedFilingJointly
1973,0.28,16000,20000,marriedFilingJointly
1973,0.32,20000,24000,marriedFilingJointly
1973,0.36,24000,28000,marriedFilingJointly
1973,0.39,28000,32000,marriedFilingJointly
1973,0.42,32000,36000,marriedFilingJointly
1973,0.45,36000,40000,marriedFilingJointly
1973,0.48,40000,44000,marriedFilingJointly
1973,0.5,44000,52000,marriedFilingJointly
1973,0.53,52000,64000,marriedFilingJointly
1973,0.55,64000,76000,marriedFilingJointly
1973,0.58,76000,88000,marriedFilingJointly
1973,0.6,88000,100000,marriedFilingJointly
1973,0.62,100000,120000,marriedFilingJointly
1973,0.64,120000,140000,marriedFilingJointly
1973,0.66,140000,160000,marriedFilingJointly
1973,0.68,160000,180000,marriedFilingJointly
1973,0.69,180000,200000,marriedFilingJointly
1973,0.7,200000,,marriedFilingJointly
1973,0.14,0,500,marriedFilingSeparately
1973,0.15,500,1000,marriedFilingSeparately
1973,0.16,1000,1500,marriedFilingSeparately
1973,0.17,1500,2000,marriedFilingSeparately
1973,0.19,2000,4000,marriedFilingSeparately
1973,0.22,4000,6000,marriedFilingSeparately
1973,0.25,6000,8000,marriedFilingSeparately
1973,0.28,8000,10000,marriedFilingSeparately
1973,0.32,10000,12000,marriedFilingSeparately
1973,0.36,12000,14000,marriedFilingSeparately
1973,0.39,14000,16000,marriedFilingSeparately
1973,0.42,16000,18000,marriedFilingSeparately
1973,0.45,18000,20000,marriedFilingSeparately
1973,0.48,20000,22000,marriedFilingSeparately
1973,0.5,22000,26000,marriedFilingSeparately
1973,0.53,26000,32000,marriedFilingSeparately
1973,0.55,32000,38000,marriedFilingSeparately
1973,0.58,38000,44000,marriedFilingSeparately
1973,0.6,44000,50000,marriedFilingSeparately
1973,0.62,50000,60000,marriedFilingSeparately
1973,0.64,60000,70000,marriedFilingSeparately
1973,0.66,70000,80000,marriedFilingSeparately
1973,0.68,80000,90000,marriedFilingSeparately
1973,0.69,90000,100000,marriedFilingSeparately
1973,0.7,100000,,marriedFilingSeparately
1973,0.14,0,500,single
1973,0.15,500,1000,single
1973,0.16,1000,1500,single
1973,0.17,1500,2000,single
1973,0.19,2000,4000,single
1973,0.21,4000,6000,single
1973,0.24,6000,8000,single
1973,0.25,8000,10000,single
1973,0.27,10000,12000,single
1973,0.29,12000,14000,single
1973,0.31,14000,16000,single
1973,0.34,16000,18000,single
1973,0.36,18000,20000,single
1973,0.38,20000,22000,single
1973,0.4,22000,26000,single
1973,0.45,26000,32000,single
1973,0.5,32000,38000,single
1973,0.55,38000,44000,single
1973,0.6,44000,50000,single
1973,0.62,50000,60000,single
1973,0.64,60000,70000,single
1973,0.66,70000,80000,single
1973,0.68,80000,90000,single
1973,0.69,90000,100000,single
1973,0.7,100000,,single
1972,0.14,0,1000,headOfHousehold
1972,0.16,1000,2000,headOfHousehold
1972,0.18,2000,4000,headOfHousehold
1972,0.19,4000,6000,headOfHousehold
1972,0.22,6000,8000,headOfHousehold
1972,0.23,8000,10000,headOfHousehold
1972,0.25,10000,12000,headOfHousehold
1972,0.27,12000,14000,headOfHousehold
1972,0.28,14000,16000,headOfHousehold
1972,0.31,16000,18000,headOfHousehold
1972,0.32,18000,20000,headOfHousehold
1972,0.35,20000,22000,headOfHousehold
1972,0.36,22000,24000,headOfHousehold
1972,0.38,24000,26000,headOfHousehold
1972,0.41,26000,28000,headOfHousehold
1972,0.42,28000,32000,headOfHousehold
1972,0.45,32000,36000,headOfHousehold
1972,0.48,36000,38000,headOfHousehold
1972,0.51,38000,40000,headOfHousehold
1972,0.52,40000,44000,headOfHousehold
1972,0.55,44000,50000,headOfHousehold
1972,0.56,50000,52000,headOfHousehold
1972,0.58,52000,64000,headOfHousehold
1972,0.59,64000,70000,headOfHousehold
1972,0.61,70000,76000,headOfHousehold
1972,0.62,76000,80000,headOfHousehold
1972,0.63,80000,88000,headOfHousehold
1972,0.64,88000,100000,headOfHousehold
1972,0.66,100000,120000,headOfHousehold
1972,0.67,120000,140000,headOfHousehold
1972,0.68,140000,160000,headOfHousehold
1972,0.69,160000,180000,headOfHousehold
1972,0.7,180000,,headOfHousehold
1972,0.14,0,1000,marriedFilingJointly
1972,0.15,1000,2000,marriedFilingJointly
1972,0.16,2000,3000,marriedFilingJointly
1972,0.17,3000,4000,marriedFilingJointly
1972,0.19,4000,8000,marriedFilingJointly
1972,0.22,8000,12000,marriedFilingJointly
1972,0.25,12000,16000,marriedFilingJointly
1972,0.28,16000,20000,marriedFilingJointly
1972,0.32,20000,24000,marriedFilingJointly
1972,0.36,24000,28000,marriedFilingJointly
1972,0.39,28000,32000,marriedFilingJointly
1972,0.42,32000,36000,marriedFilingJointly
1972,0.45,36000,40000,marriedFilingJointly
1972,0.48,40000,44000,marriedFilingJointly
1972,0.5,44000,52000,marriedFilingJointly
1972,0.53,52000,64000,marriedFilingJointly
1972,0.55,64000,76000,marriedFilingJointly
1972,0.58,76000,88000,marriedFilingJointly
1972,0.6,88000,100000,marriedFilingJointly
1972,0.62,100000,120000,marriedFilingJointly
1972,0.64,120000,140000,marriedFilingJointly
1972,0.66,140000,160000,marriedFilingJointly
1972,0.68,160000,180000,marriedFilingJointly
1972,0.69,180000,200000,marriedFilingJointly
1972,0.7,200000,,marriedFilingJointly
1972,0.14,0,500,marriedFilingSeparately
1972,0.15,500,1000,marriedFilingSeparately
1972,0.16,1000,1500,marriedFilingSeparately
1972,0.17,1500,2000,marriedFilingSeparately
1972,0.19,2000,4000,marriedFilingSeparately
1972,0.22,4000,6000,marriedFilingSeparately
1972,0.25,6000,8000,marriedFilingSeparately
1972,0.28,8000,10000,marriedFilingSeparately
1972,0.32,10000,12000,marriedFilingSeparately
1972,0.36,12000,14000,marriedFilingSeparately
1972,0.39,14000,16000,marriedFilingSeparately
1972,0.42,16000,18000,marriedFilingSeparately
1972,0.45,18000,20000,marriedFilingSeparately
1972,0.48,20000,22000,marriedFilingSeparately
1972,0.5,22000,26000,marriedFilingSeparately
1972,0.53,26000,32000,marriedFilingSeparately
1972,0.55,32000,38000,marriedFilingSeparately
1972,0.58,38000,44000,marriedFilingSeparately
1972,0.6,44000,50000,marriedFilingSeparately
1972,0.62,50000,60000,marriedFilingSeparately
1972,0.64,60000,70000,marriedFilingSeparately
1972,0.66,70000,80000,marriedFilingSeparately
1972,0.68,80000,90000,marriedFilingSeparately
1972,0.69,90000,100000,marriedFilingSeparately
1972,0.7,100000,,marriedFilingSeparately
1972,0.14,0,500,single
1972,0.15,500,1000,single
1972,0.16,1000,1500,single
1972,0.17,1500,2000,single
1972,0.19,2000,4000,single
1972,0.21,4000,6000,single
1972,0.24,6000,8000,single
1972,0.25,8000,10000,single
1972,0.27,10000,12000,single
1972,0.29,12000,14000,single
1972,0.31,14000,16000,single
1972,0.34,16000,18000,single
1972,0.36,18000,20000,single
1972,0.38,20000,22000,single
1972,0.4,22000,26000,single
1972,0.45,26000,32000,single
1972,0.5,32000,38000,single
1972,0.55,38000,44000,single
1972,0.6,44000,50000,single
1972,0.62,50000,60000,single
1972,0.64,60000,70000,single
1972,0.66,70000,80000,single
1972,0.68,80000,90000,single
1972,0.69,90000,100000,single
1972,0.7,100000,,single
1971,0.14,0,1000,headOfHousehold
1971,0.16,1000,2000,headOfHousehold
1971,0.18,2000,4000,headOfHousehold
1971,0.19,4000,6000,headOfHousehold
1971,0.22,6000,8000,headOfHousehold
1971,0.23,8000,10000,headOfHousehold
1971,0.25,10000,12000,headOfHousehold
