"COU","Country","CORP_TAX","Corporate income tax rate","TAR","Targeted","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","CIT_RATE","Corporate income tax rate","Y","Y","2015","2015","PC","Percentage","0","units",,,15,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","Y","Y","2000","2000","PC","Percentage","0","units",,,31,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","Y","Y","2001","2001","PC","Percentage","0","units",,,31,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","Y","Y","2002","2002","PC","Percentage","0","units",,,31,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","Y","Y","2003","2003","PC","Percentage","0","units",,,31,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","Y","Y","2004","2004","PC","Percentage","0","units",,,28,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","Y","Y","2005","2005","PC","Percentage","0","units",,,26,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","Y","Y","2006","2006","PC","Percentage","0","units",,,24,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","Y","Y","2007","2007","PC","Percentage","0","units",,,24,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","Y","Y","2008","2008","PC","Percentage","0","units",,,21,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","Y","Y","2009","2009","PC","Percentage","0","units",,,20,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","Y","Y","2010","2010","PC","Percentage","0","units",,,19,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","Y","Y","2011","2011","PC","Percentage","0","units",,,19,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","Y","Y","2012","2012","PC","Percentage","0","units",,,19,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","Y","Y","2013","2013","PC","Percentage","0","units",,,19,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","Y","Y","2014","2014","PC","Percentage","0","units",,,19,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","Y","Y","2015","2015","PC","Percentage","0","units",,,19,,
"DNK","Denmark","CIT_RATE","Corporate income tax rate","N","N","2000","2000","PC","Percentage","0","units",,,32,,
"DNK","Denmark","CIT_RATE","Corporate income tax rate","N","N","2001","2001","PC","Percentage","0","units",,,30,,
"DNK","Denmark","CIT_RATE","Corporate income tax rate","N","N","2002","2002","PC","Percentage","0","units",,,30,,
"DNK","Denmark","CIT_RATE","Corporate income tax rate","N","N","2003","2003","PC","Percentage","0","units",,,30,,
"DNK","Denmark","CIT_RATE","Corporate income tax rate","N","N","2004","2004","PC","Percentage","0","units",,,30,,
"DNK","Denmark","CIT_RATE","Corporate income tax rate","N","N","2005","2005","PC","Percentage","0","units",,,28,,
"DNK","Denmark","CIT_RATE","Corporate income tax rate","N","N","2006","2006","PC","Percentage","0","units",,,28,,
"DNK","Denmark","CIT_RATE","Corporate income tax rate","N","N","2007","2007","PC","Percentage","0","units",,,25,,
"DNK","Denmark","CIT_RATE","Corporate income tax rate","N","N","2008","2008","PC","Percentage","0","units",,,25,,
"DNK","Denmark","CIT_RATE","Corporate income tax rate","N","N","2009","2009","PC","Percentage","0","units",,,25,,
"DNK","Denmark","CIT_RATE","Corporate income tax rate","N","N","2010","2010","PC","Percentage","0","units",,,25,,
"DNK","Denmark","CIT_RATE","Corporate income tax rate","N","N","2011","2011","PC","Percentage","0","units",,,25,,
"DNK","Denmark","CIT_RATE","Corporate income tax rate","N","N","2012","2012","PC","Percentage","0","units",,,25,,
"DNK","Denmark","CIT_RATE","Corporate income tax rate","N","N","2013","2013","PC","Percentage","0","units",,,25,,
"DNK","Denmark","CIT_RATE","Corporate income tax rate","N","N","2014","2014","PC","Percentage","0","units",,,24.5,,
"DNK","Denmark","CIT_RATE","Corporate income tax rate","N","N","2015","2015","PC","Percentage","0","units",,,23.5,,
"FIN","Finland","CIT_RATE","Corporate income tax rate","N","N","2000","2000","PC","Percentage","0","units",,,29,,
"FIN","Finland","CIT_RATE","Corporate income tax rate","N","N","2001","2001","PC","Percentage","0","units",,,29,,
"FIN","Finland","CIT_RATE","Corporate income tax rate","N","N","2002","2002","PC","Percentage","0","units",,,29,,
"FIN","Finland","CIT_RATE","Corporate income tax rate","N","N","2003","2003","PC","Percentage","0","units",,,29,,
"FIN","Finland","CIT_RATE","Corporate income tax rate","N","N","2004","2004","PC","Percentage","0","units",,,29,,
"FIN","Finland","CIT_RATE","Corporate income tax rate","N","N","2005","2005","PC","Percentage","0","units",,,26,,
"FIN","Finland","CIT_RATE","Corporate income tax rate","N","N","2006","2006","PC","Percentage","0","units",,,26,,
